Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FB2A.MU,201.75,2022/04/01,08:01 CEST,-1.1499939,201.75,201.75,201.75,11,20211105,297.55,3.0,,,,
ABEA.DE,2533.0,2022/04/01,13:38 CEST,-9.0,2532.0,2536.5,2522.5,795,20200918,1232.56,1.0,,,,
MSF.DE,280.6,2022/04/01,13:35 CEST,-0.4499817,281.05,281.55,279.75,24430,20200910,178.74,7.0,,,,
AMZ.F,2967.0,2022/04/01,13:25 CEST,7.0,2940.0,2977.0,2940.0,234,20201126,2719.42,1.0,,,,
SXRV.DE,763.9,2022/04/01,13:29 CEST,-1.8999634,762.9,765.0,762.4,4449,20200320,381.86,3.0,,,,
ARKG,41.545,2022/04/01,12:43 CEST,-0.43500137,41.51,41.56,41.485,12,20210115,93.16,9.0,,0.0,,this date is only approximate.
ARKG,61.21,2022/04/01,12:43 CEST,-0.3899994,61.14,61.22,61.11,27,20210115,75.66,11.0,,,,
